Boost ID,Platform,Brand,Content,Episode,Start,End,Total Budget,Total Spent,Delivered Views,CPM,Proj Views,Proj CPM,Fanatics?,Segment?,Curation/Integration?,WHG?,Standard?,Month
319,TW,KFC,KFC ASW Reel 3,TW,7/27,7/27,$150.00,$150.04,"80,059",$1.87,"75,000",$2.00,,,Y,,,7
320,TW,Baja Blast,Baja Blast 8,X Link,7/27,7/28,$300.00,$299.99,"175,368",$1.71,"150,000",$2.00,,,Y,,,7
321,TW,Baja Blast,Baja Blast 9,X Link,7/27,7/28,$300.00,$300.01,"174,399",$1.72,"150,000",$2.00,,,Y,,,7
322,TW,Baja Blast,Baja Blast 10,X Link,7/27,7/28,$300.00,$300.05,"161,435",$1.86,"150,000",$2.00,,,Y,,,7
323,TW,KFC,KFC ASW TB Clip,TW,7/27,7/27,$150,$150.02,"82,611",$1.82,"75,000",$2.00,,Y,,,,7
324,FB,Coors,Social Clip #39,FB Link,7/28,8/1,$400,$399.99,"87,634",$4.56,"100,000",$4.00,,Y,,,,7
325,FB,Amazon,BT Segment,FBR Link,7/28,8/1,$400,$399.95,"97,860",$4.09,"100,000",$4.00,,Y,,,,7
326,FB,Fanatics,Chasin' Trophies,FB Link,7/28,8/1,"$1,500",,,#DIV/0!,"375,000",$4.00,Y,,Y,,,7
327,FB,Fanatics,Swilly's Shockers,FB Link,7/28,8/1,"$1,500.00","$1,499.70","334,500",$4.48,"375,000",$4.00,Y,,Y,,,7
328,FB,Fanatics,HR Draft,FB Link,7/28,8/1,"$1,750","$1,748.96","140,600",$12.44,"437,500",$4.00,Y,,Y,,,7
329,FB,Fanatics,HR Draft,FB Link,7/28,8/1,"$1,750","$1,749.36","201,200",$8.69,"437,500",$4.00,Y,,Y,,,7
330,TW,National,TB Joez Reel 2 Pt. 4,X Link,7/28,7/29,$300.00,$300.01,"165,663",$1.81,"150,000",$2.00,,Y,,,,7
331,TW,T-Mobile,TMO Derby Reel 2,TW,7/28,7/29,$300.00,$300.01,"165,632",$1.81,"150,000",$2.00,,,Y,,,7
332,TW,National,Houston JMB Clip 2,X Link,7/28,7/28,$180.00,$180.08,"125,278",$1.44,"90,000",$2.00,,Y,,,,7
333,TW,Xfinity,Joez Reel 1 Pt. 2,X Link,7/29,7/30,$300.00,$300.01,"179,802",$1.67,"150,000",$2.00,,,Y,,,7
334,TW,KFC,KFC ASW Reel 4,TW,7/29,7/29,$50.00,$50.00,"30,753",$1.63,"25,000",$2.00,,,Y,,,7
335,FB,Xfinity,Yankees Face Mash,,7/30,8/2,"$1,125.00","$1,124.72","244,100",$4.61,"562,500",$2.00,,,Y,,,7
336,TW,Baja Blast,Baja Blast 8,X Link,7/30,7/30,$150.00,$150.01,"93,357",$1.61,"75,000",$2.00,,,,,,7
337,TW,Baja Blast,Baja Blast 10,X Link,7/30,7/31,$300.00,$300.00,"194,920",$1.54,"150,000",$2.00,,,Y,,,7
338,TW,T-Mobile,TMO Derby Reel 1,TW,7/30,7/31,$300.00,$300.01,"196,432",$1.53,"150,000",$2.00,,,Y,,,7
339,TW,T-Mobile,TMO Derby Reel 3,TW,7/30,7/31,$230.00,$229.84,"130,380",$1.76,"115,000",$2.00,,,Y,,,7
341,FB,Shea,Social Clip #40,FB Link,7/31,8/3,$500.00,,,#DIV/0!,"250,000",$2.00,,Y,,,,7
342,FB,Shea,Social Clip #41,FB Link,7/31,8/3,$500.00,,,#DIV/0!,"250,000",$2.00,,Y,,,,7
343,FB,Shea,Social Clip #42,FB Link,7/31,8/3,$500.00,,,#DIV/0!,"250,000",$2.00,,Y,,,,7
344,FB,Shea,Social Clip #44,FB Link,7/31,8/3,$500.00,,,#DIV/0!,"250,000",$2.00,,Y,,,,7
345,TT,Xfinity,2025 All-Stars,TT Link,7/31,8/3,$980.00,$663.41,"333,260",$1.99,"392,000",$2.50,,,Y,,,7
340,TT,Apple TV,Bespoke Social,TT Link,7/31,8/1,$200.00,$200.00,"99,920",$2.00,"50,000",$4.00,,,Y,,,7
346,FB,Amazon,Muncy,,8/3,8/4,$300.00,$219.73,"66,893",$3.28,"75,000",$4.00,,Y,,,,8
347,FB,Amazon,McGonigle,,8/3,8/4,$300.00,$223.87,"59,125",$3.79,"75,000",$4.00,,Y,,,,8
348,FB,Fanatics,Swilly's Shockers,,8/3,8/10,"$1,701.00",$369.49,"87,316",$4.23,"425,250",$4.00,Y,,Y,,,8
349,FB,Fanatics,Chasin Trophies,,8/3,8/10,"$1,701.00",$364.29,"62,907",$5.79,"425,250",$4.00,Y,,Y,,,8
350,FB,Fanatics,SNB Parlay,,8/3,8/10,"$2,100.00",$382.10,"68,532",$5.58,"525,000",$4.00,Y,,Y,,,8
351,FB,Fanatics,Shea HR Daft,,8/3,8/8,$500.00,,,#DIV/0!,"125,000",$4.00,Y,,Y,,,8
352,TT,Amazon,Game Saving Plays,,8/4,8/7,"$1,000.00",,,#DIV/0!,"400,000",$2.50,,,Y,,,8
